Country;Region;C_T;Status;PR;CL;Total
Abkhazia;Eurasia;t;PF;17;23;40
Afghanistan;Asia;c;NF;13;14;27
Albania;Europe;c;PF;27;40;67
Algeria;MENA;c;NF;10;24;34
Andorra;Europe;c;F;39;55;94
Angola;SSA;c;NF;11;21;32
Antigua and Barbuda;Americas;c;F;33;52;85
Argentina;Americas;c;F;35;50;85
Armenia;Eurasia;c;PF;21;32;53
Australia;Asia;c;F;40;57;97
Austria;Europe;c;F;37;56;93
Azerbaijan;Eurasia;c;NF;2;8;10
Bahamas;Americas;c;F;38;53;91
Bahrain;MENA;c;NF;1;10;11
Bangladesh;Asia;c;PF;15;24;39
Barbados;Americas;c;F;38;57;95
Belarus;Eurasia;c;NF;5;14;19
Belgium;Europe;c;F;39;57;96
Belize;Americas;c;F;35;51;86
Benin;SSA;c;PF;21;45;66
Bhutan;Asia;c;PF;29;30;59
Bolivia;Americas;c;PF;25;38;63
Bosnia and Herzegovina;Europe;c;PF;19;34;53
Botswana;SSA;c;F;28;44;72
Brazil;Americas;c;F;31;44;75
Brunei;Asia;c;NF;7;21;28
Bulgaria;Europe;c;F;34;46;80
Burkina Faso;SSA;c;PF;23;33;56
Burundi;SSA;c;NF;3;10;13
Cabo Verde;SSA;c;F;38;54;92
Cambodia;Asia;c;NF;5;20;25
Cameroon;SSA;c;NF;7;11;18
Canada;Americas;c;F;40;58;98
Central African Republic;SSA;c;NF;4;6;10
Chad;SSA;c;NF;3;14;17
Chile;Americas;c;F;38;52;90
China;Asia;c;NF;-1;11;10
Colombia;Americas;c;PF;29;37;66
Comoros;SSA;c;PF;18;26;44
Congo (Brazzaville);SSA;c;NF;2;18;20
Congo (Kinshasa);SSA;c;NF;4;14;18
Costa Rica;Americas;c;F;38;53;91
Cote d'Ivoire;SSA;c;PF;19;32;51
Crimea;Eurasia;t;NF;-2;10;8
Croatia;Europe;c;F;36;49;85
Cuba;Americas;c;NF;1;13;14
Cyprus;Europe;c;F;38;56;94
Czech Republic;Europe;c;F;36;55;91
Denmark;Europe;c;F;40;57;97
Djibouti;SSA;c;NF;5;19;24
Dominica;Americas;c;F;37;56;93
Dominican Republic;Americas;c;PF;26;41;67
Eastern Donbas;Eurasia;t;NF;-1;6;5
Ecuador;Americas;c;PF;27;38;65
Egypt;MENA;c;NF;7;14;21
El Salvador;Americas;c;PF;32;34;66
Equatorial Guinea;SSA;c;NF;0;6;6
Eritrea;SSA;c;NF;1;1;2
Estonia;Europe;c;F;38;56;94
Eswatini;SSA;c;NF;1;18;19
Ethiopia;SSA;c;NF;10;14;24
Fiji;Asia;c;PF;24;36;60
Finland;Europe;c;F;40;60;100
France;Europe;c;F;38;52;90
Gabon;SSA;c;NF;3;19;22
Gaza Strip;MENA;t;NF;3;8;11
Georgia;Eurasia;c;PF;24;37;61
Germany;Europe;c;F;39;55;94
Ghana;SSA;c;F;35;47;82
Greece;Europe;c;F;37;51;88
Grenada;Americas;c;F;37;52;89
Guatemala;Americas;c;PF;21;31;52
Guinea;SSA;c;PF;15;25;40
Guinea-Bissau;SSA;c;PF;17;29;46
Guyana;Americas;c;F;31;43;74
Haiti;Americas;c;PF;16;22;38
Honduras;Americas;c;PF;19;26;45
